Country,State,StateCode,City,Suburb,Average of PostCode,PropertyMedianValue,Average of Average of Latitude,Average of Average of Longitude,UpdatedMonth,UpdatedYear
Australia,New South Wales,NSW,Blue Mountains,Hazelgrove,2787,0,-33.650014,149.893713,0,0
Australia,New South Wales,NSW,Blue Mountains,Jaunter,2787,0,-33.993635,149.887663,0,0
Australia,New South Wales,NSW,Blue Mountains,Kanangra,2787,0,-33.99038,150.104745,0,0
Australia,New South Wales,NSW,Blue Mountains,Kirkham,2570,0,-34.038536,150.71674,0,0
Australia,New South Wales,NSW,Blue Mountains,Kurrajong,2758,0,-33.546749,150.660686,0,0
Australia,New South Wales,NSW,Blue Mountains,Kurrajong Heights,2758,0,-33.523862,150.628716,0,0
Australia,New South Wales,NSW,Blue Mountains,Kurrajong Hills,2758,0,-33.541464,150.639331,0,0
Australia,New South Wales,NSW,Blue Mountains,Maldon,2571,0,-34.194502,150.632327,0,0
Australia,New South Wales,NSW,Blue Mountains,Mayfield,2787,0,-33.66329,149.780209,0,0
Australia,New South Wales,NSW,Blue Mountains,Megalong,2785,0,-33.704121,150.246224,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Hunter,2570,0,-34.071248,150.641382,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Irvine,2786,0,-33.492148,150.445296,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Olive,2787,0,-33.598187,149.917271,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Tomah,2758,0,-33.541442,150.42235,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Victoria,2786,0,-33.588561,150.251161,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Werong,2787,0,-34.085969,149.903856,0,0
Australia,New South Wales,NSW,Blue Mountains,Mount Wilson,2786,0,-33.503126,150.388368,0,0
Australia,New South Wales,NSW,Blue Mountains,Mountain Lagoon,2758,0,-33.445615,150.624552,0,0
Australia,New South Wales,NSW,Blue Mountains,Mowbray Park,2571,0,-34.157496,150.549363,0,0
Australia,New South Wales,NSW,Blue Mountains,Mozart,2787,0,-33.819672,149.856164,0,0
Australia,New South Wales,NSW,Blue Mountains,Nattai,2570,0,-34.068935,150.44568,0,0
Australia,New South Wales,NSW,Blue Mountains,Norway,2787,0,-33.760741,149.817231,0,0
Australia,New South Wales,NSW,Blue Mountains,Oakdale,2570,0,-34.078174,150.513639,0,0
Australia,New South Wales,NSW,Blue Mountains,Oberon,2787,0,-33.703856,149.855484,0,0
Australia,New South Wales,NSW,Blue Mountains,Oran Park,2570,0,-34.006941,150.723908,0,0
Australia,New South Wales,NSW,Blue Mountains,Orangeville,2570,0,-34.04279,150.573125,0,0
Australia,New South Wales,NSW,Blue Mountains,Picton,2571,0,-34.185524,150.606454,0,0
Australia,New South Wales,NSW,Blue Mountains,Porters Retreat,2787,0,-33.988815,149.760628,0,0
Australia,New South Wales,NSW,Blue Mountains,Portland,2847,0,-33.353124,149.98227,0,0
Australia,New South Wales,NSW,Blue Mountains,Razorback,2571,0,-34.136585,150.665604,0,0
Australia,New South Wales,NSW,Blue Mountains,Shooters Hill,2787,0,-33.895788,149.861766,0,0
Australia,New South Wales,NSW,Blue Mountains,Spring Farm,2570,0,-34.070247,150.727716,0,0
Australia,New South Wales,NSW,Blue Mountains,Tarana,2787,0,-33.526572,149.908189,0,0
Australia,New South Wales,NSW,Blue Mountains,The Devils Wilderness,2758,0,-33.52602,150.565213,0,0
Australia,New South Wales,NSW,Blue Mountains,The Meadows,2787,0,-33.63655,149.926845,0,0
Australia,New South Wales,NSW,Blue Mountains,The Oaks,2570,0,-34.076873,150.571086,0,0
